|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-08-19|EB06      |Island View Terminal|Tanker Services Fuel      |490           |11.41           |9.540432          |744.85                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-23|EB08      |Ladysmith           |Tanker Services Fuel      |499           |26.87           |8.985328          |2,217.08                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-11|EA33      |Alrode              |Unitrans Supply Chain Sols|1,541         |9.78            |27.063936         |2,574.85                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-22|EB21      |Waltloo             |Makwande                  |2,966         |16.73           |59.966751         |6,533.97                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-26|EB08      |Ladysmith           |Tanker Services Fuel      |678           |7.73            |3.880712          |677.65                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-21|EA33      |Alrode              |Unitrans Supply Chain Sols|2,148         |5.6             |16.469568         |2,240.65                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-06|EA33      |Alrode              |Unitrans Supply Chain Sols|5,688         |7.11            |43.058304         |8,111.25                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-08|EB06      |Island View Terminal|Tanker Services Fuel      |420           |15.54           |10.396496         |1,023.47                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-21|EB21      |Waltloo             |Makwande                  |1,274         |17.78           |20.382992         |2,271.43                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-22|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|449           |10.23           |3.535488          |563.74                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-18|EB21      |Waltloo             |Makwande                  |1,093         |18.43           |18.488566         |2,607.67                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-06|EB06      |Island View Terminal|Tanker Services Fuel      |569           |18.98           |19.04408          |1,305.21                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-09|EA33      |Alrode              |Unitrans Supply Chain Sols|859           |8.41            |7.269696          |952.03                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-03|EB06      |Island View Terminal|Tanker Services Fuel      |1,842         |25.74           |43.052328         |9,404.89                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-23|EA33      |Alrode              |Unitrans Supply Chain Sols|1,287         |9.18            |17.4528           |2,114.66                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-06|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|403           |9.97            |5.168448          |948.61                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-09|EA33      |Alrode              |Unitrans Supply Chain Sols|257           |2.79            |1.933632          |145.82                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-28|EB44      |Witbank             |Makwande                  |971           |13.49           |9.669884          |1,176.37                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-26|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|313           |7.93            |4.11264           |385.57                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-13|EB06      |Island View Terminal|Tanker Services Fuel      |2,282         |16.52           |27.624784         |4,145.51                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-07|EB06      |Island View Terminal|Tanker Services Fuel      |1,516         |14.72           |14.773792         |3,150.24                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-02|EB08      |Ladysmith           |Tanker Services Fuel      |474           |3.97            |2.655136          |122.8                              |Secondary       |TNK-LAY-DIR-2022|474,936                 |
